time,open,high,low,close,tick_volume,spread,real_volume
2000-03-30,0.892,0.9,0.888,0.8925,236,200,0
2000-03-31,0.8914,0.8923,0.8742,0.8801,250,200,0
2000-04-03,0.8796,0.8841,0.8791,0.8826,71,200,0
2000-04-04,0.8836,0.8847,0.8715,0.8787,216,200,0
2000-04-05,0.8775,0.8832,0.876,0.8789,131,200,0
2000-04-06,0.8775,0.8805,0.8707,0.8744,166,200,0
2000-04-07,0.8735,0.8759,0.8669,0.8727,173,200,0
2000-04-10,0.8713,0.8823,0.8689,0.8689,245,200,0
2000-04-11,0.8725,0.8823,0.8685,0.872,272,200,0
2000-04-12,0.8715,0.8823,0.871,0.8755,187,200,0
2000-04-13,0.8753,0.8808,0.8726,0.8788,130,200,0
2000-04-14,0.8785,0.8839,0.8726,0.8833,179,200,0
2000-04-17,0.8893,0.8926,0.873,0.8783,283,200,0
2000-04-18,0.8777,0.8862,0.8726,0.8808,242,200,0
2000-04-19,0.8788,0.8846,0.8726,0.879,239,200,0
2000-04-20,0.88,0.882,0.8722,0.8731,128,200,0
2000-04-21,0.8732,0.879,0.8724,0.8743,122,200,0
2000-04-24,0.8733,0.8793,0.8722,0.8783,93,200,0
2000-04-25,0.8779,0.8809,0.8703,0.8703,137,200,0
2000-04-26,0.8713,0.8726,0.8626,0.8674,162,200,0
2000-04-27,0.8691,0.8738,0.867,0.8671,117,200,0
2000-04-28,0.8664,0.8735,0.8595,0.8638,255,200,0
2000-05-01,0.8659,0.8662,0.8569,0.8629,157,200,0
2000-05-02,0.8611,0.8723,0.8608,0.8694,148,200,0
2000-05-03,0.8684,0.8863,0.8662,0.8844,243,200,0
2000-05-04,0.8819,0.8878,0.8764,0.8842,206,200,0
2000-05-05,0.8833,0.8903,0.8824,0.8894,98,200,0
2000-05-08,0.8887,0.8896,0.8663,0.8663,243,200,0
2000-05-09,0.8666,0.8727,0.8616,0.87,189,200,0
2000-05-10,0.8716,0.8779,0.8658,0.8684,211,200,0
2000-05-11,0.8657,0.8729,0.8584,0.8652,286,200,0
2000-05-12,0.8633,0.8858,0.8593,0.8619,517,200,0
2000-05-15,0.8673,0.8673,0.8519,0.8523,159,200,0
2000-05-16,0.8502,0.86,0.8502,0.8575,124,200,0
2000-05-17,0.8541,0.857,0.8453,0.85,194,200,0
2000-05-18,0.8524,0.8606,0.8487,0.8584,179,200,0
2000-05-19,0.858,0.8628,0.8501,0.8591,244,200,0
2000-05-22,0.8569,0.8626,0.8512,0.8565,225,200,0
2000-05-23,0.8564,0.8682,0.8564,0.8663,138,200,0
2000-05-24,0.8642,0.8737,0.8579,0.8613,288,200,0
2000-05-25,0.8626,0.8661,0.8541,0.8544,159,200,0
2000-05-26,0.8546,0.8653,0.851,0.865,183,200,0
2000-05-29,0.8631,0.865,0.857,0.8578,108,200,0
2000-05-30,0.8576,0.8709,0.8572,0.8659,192,200,0
2000-05-31,0.8661,0.8689,0.8547,0.8578,202,200,0
2000-06-01,0.8562,0.8624,0.8508,0.8523,194,200,0
2000-06-02,0.8536,0.8619,0.8492,0.8569,222,200,0
2000-06-05,0.8585,0.863,0.8538,0.8608,162,200,0
2000-06-06,0.8617,0.8715,0.855,0.8688,260,200,0
2000-06-07,0.8676,0.8781,0.8668,0.8777,126,200,0
2000-06-08,0.8766,0.8778,0.8673,0.8704,149,200,0
2000-06-09,0.8684,0.8706,0.8623,0.867,153,200,0
2000-06-12,0.8654,0.8734,0.8645,0.8734,99,200,0
2000-06-13,0.8727,0.8817,0.8686,0.8756,234,200,0
2000-06-14,0.877,0.8866,0.8752,0.8801,198,200,0
2000-06-15,0.8805,0.8905,0.8795,0.8891,135,200,0
2000-06-16,0.8877,0.9,0.8873,0.8888,244,200,0
2000-06-19,0.8887,0.8925,0.8799,0.8811,177,200,0
2000-06-20,0.8813,0.8895,0.8804,0.8867,129,200,0
2000-06-21,0.8861,0.8888,0.8809,0.8865,155,200,0
2000-06-22,0.8864,0.8874,0.8777,0.8813,144,200,0
2000-06-23,0.881,0.8834,0.878,0.8819,100,200,0
2000-06-26,0.881,0.8877,0.8795,0.8853,122,200,0
2000-06-27,0.8841,0.8932,0.8841,0.8909,115,200,0
2000-06-28,0.8904,0.8953,0.8883,0.8901,138,200,0
2000-06-29,0.8919,0.8954,0.8877,0.8923,151,200,0
2000-06-30,0.8913,0.8938,0.8826,0.8842,154,200,0
2000-07-03,0.8828,0.8902,0.8828,0.8867,110,200,0
2000-07-04,0.8854,0.8901,0.8848,0.8899,62,200,0
2000-07-05,0.8894,0.8903,0.8763,0.877,157,200,0
2000-07-06,0.8769,0.8822,0.876,0.8769,125,200,0
2000-07-07,0.8781,0.879,0.8709,0.876,142,200,0
2000-07-10,0.8763,0.8819,0.8712,0.876,212,200,0
2000-07-11,0.8757,0.8766,0.8682,0.8693,105,200,0
2000-07-12,0.8696,0.8751,0.8685,0.8721,108,200,0
2000-07-13,0.8726,0.8763,0.8643,0.8661,176,200,0
