time,open,high,low,close,tick_volume,spread,real_volume
2019-05-09 16:00:00,76.486,76.845,76.332,76.699,25704,20,0
2019-05-09 20:00:00,76.698,76.817,76.633,76.681,12361,20,0
2019-05-10 00:00:00,76.683,76.92,76.581,76.886,15785,20,0
2019-05-10 04:00:00,76.886,77.226,76.646,76.672,27083,20,0
2019-05-10 08:00:00,76.673,76.907,76.562,76.852,15267,20,0
2019-05-10 12:00:00,76.852,76.903,76.691,76.816,14809,7,0
2019-05-10 16:00:00,76.817,76.865,76.587,76.75,22872,20,0
2019-05-10 20:00:00,76.751,77.081,76.738,76.948,14853,20,0
2019-05-13 00:00:00,76.736,76.869,76.483,76.598,9784,20,0
2019-05-13 04:00:00,76.598,76.675,76.508,76.603,7481,20,0
2019-05-13 08:00:00,76.603,76.609,76.384,76.479,11145,20,0
2019-05-13 12:00:00,76.48,76.61,76.08,76.103,16539,20,0
2019-05-13 16:00:00,76.103,76.103,75.722,75.77,24596,20,0
2019-05-13 20:00:00,75.769,76.045,75.731,75.885,14860,8,0
2019-05-14 00:00:00,75.889,76.132,75.778,76.131,9940,12,0
2019-05-14 04:00:00,76.131,76.263,76.061,76.215,11323,20,0
2019-05-14 08:00:00,76.216,76.349,76.076,76.162,10863,20,0
2019-05-14 12:00:00,76.162,76.209,75.897,76.01,11937,20,0
2019-05-14 16:00:00,76.01,76.235,75.954,76.157,16219,20,0
2019-05-14 20:00:00,76.157,76.214,76.058,76.085,7075,20,0
2019-05-15 00:00:00,76.082,76.159,75.864,75.939,7405,20,0
2019-05-15 04:00:00,75.939,76.084,75.844,75.96,10750,20,0
2019-05-15 08:00:00,75.961,76.04,75.751,75.781,10828,20,0
2019-05-15 12:00:00,75.781,75.825,75.515,75.601,15257,20,0
2019-05-15 16:00:00,75.602,76.055,75.552,75.788,25293,20,0
2019-05-15 20:00:00,75.788,75.927,75.745,75.901,7668,7,0
2019-05-16 00:00:00,75.924,75.961,75.684,75.756,8028,20,0
2019-05-16 04:00:00,75.756,75.786,75.389,75.688,12660,20,0
2019-05-16 08:00:00,75.688,75.957,75.566,75.924,11935,20,0
2019-05-16 12:00:00,75.924,75.99,75.723,75.822,13861,20,0
2019-05-16 16:00:00,75.824,75.923,75.758,75.804,13361,8,0
2019-05-16 20:00:00,75.803,75.813,75.618,75.675,8277,20,0
2019-05-17 00:00:00,75.684,75.738,75.624,75.728,13284,10,0
2019-05-17 04:00:00,75.728,75.83,75.498,75.536,11171,20,0
2019-05-17 08:00:00,75.536,75.609,75.337,75.378,15213,20,0
2019-05-17 12:00:00,75.379,75.508,75.32,75.438,14063,20,0
2019-05-17 16:00:00,75.438,75.633,75.369,75.567,21181,20,0
2019-05-17 20:00:00,75.567,75.736,75.457,75.559,13026,20,0
2019-05-20 00:00:00,76.021,76.2,75.799,76.195,8188,11,0
2019-05-20 04:00:00,76.196,76.299,76.129,76.263,9932,20,0
2019-05-20 08:00:00,76.263,76.381,76.114,76.121,11604,20,0
2019-05-20 12:00:00,76.121,76.218,75.906,75.951,12757,20,0
2019-05-20 16:00:00,75.951,76.137,75.892,75.994,16927,20,0
2019-05-20 20:00:00,75.994,76.026,75.918,76.002,7428,12,0
2019-05-21 00:00:00,76.001,76.272,75.974,76.213,9648,11,0
2019-05-21 04:00:00,76.213,76.271,75.787,75.8,12741,20,0
2019-05-21 08:00:00,75.8,75.808,75.609,75.676,10473,20,0
2019-05-21 12:00:00,75.676,76.06,75.648,76.036,14010,20,0
2019-05-21 16:00:00,76.036,76.166,75.89,76.116,19171,20,0
2019-05-21 20:00:00,76.116,76.142,76.03,76.031,5468,9,0
2019-05-22 00:00:00,76.03,76.132,75.932,75.944,6107,10,0
2019-05-22 04:00:00,75.943,76.153,75.9,75.968,7647,12,0
2019-05-22 08:00:00,75.968,76.115,75.878,76.009,11011,20,0
2019-05-22 12:00:00,76.009,76.175,75.912,76.011,11226,20,0
2019-05-22 16:00:00,76.011,76.045,75.822,75.861,14168,20,0
2019-05-22 20:00:00,75.861,75.95,75.844,75.914,6709,9,0
2019-05-23 00:00:00,75.918,75.927,75.709,75.733,6330,13,0
2019-05-23 04:00:00,75.733,75.885,75.619,75.853,7650,0,0
2019-05-23 08:00:00,75.853,75.87,75.632,75.685,14972,20,0
2019-05-23 12:00:00,75.685,75.727,75.52,75.611,13828,20,0
2019-05-23 16:00:00,75.611,75.655,75.461,75.538,24847,20,0
2019-05-23 20:00:00,75.538,75.615,75.435,75.602,10720,20,0
2019-05-24 00:00:00,75.606,75.698,75.518,75.682,8638,8,0
2019-05-24 04:00:00,75.682,75.742,75.38,75.462,10346,20,0
2019-05-24 08:00:00,75.462,75.642,75.447,75.549,11795,20,0
2019-05-24 12:00:00,75.546,75.806,75.528,75.696,12691,20,0
2019-05-24 16:00:00,75.697,75.819,75.553,75.657,15489,20,0
2019-05-24 20:00:00,75.657,75.789,75.657,75.687,5635,20,0
2019-05-27 00:00:00,75.77,75.925,75.706,75.878,7207,12,0
2019-05-27 04:00:00,75.878,75.911,75.789,75.876,11592,20,0
2019-05-27 08:00:00,75.878,75.999,75.785,75.792,12675,20,0
2019-05-27 12:00:00,75.792,75.828,75.747,75.811,5745,20,0
2019-05-27 16:00:00,75.811,75.823,75.716,75.724,4808,20,0
2019-05-27 20:00:00,75.724,75.772,75.701,75.729,2891,11,0
2019-05-28 00:00:00,75.732,75.897,75.649,75.868,9945,12,0
2019-05-28 04:00:00,75.868,75.893,75.711,75.864,8900,20,0
2019-05-28 08:00:00,75.864,75.909,75.538,75.552,14614,20,0
2019-05-28 12:00:00,75.553,75.818,75.553,75.811,13469,20,0
2019-05-28 16:00:00,75.811,75.943,75.787,75.854,17669,20,0
2019-05-28 20:00:00,75.854,75.866,75.66,75.693,9300,20,0
2019-05-29 00:00:00,75.704,75.777,75.588,75.69,10377,20,0
2019-05-29 04:00:00,75.69,75.813,75.635,75.678,11891,20,0
2019-05-29 08:00:00,75.678,75.753,75.475,75.552,16201,20,0
2019-05-29 12:00:00,75.552,75.734,75.458,75.734,12373,20,0
2019-05-29 16:00:00,75.734,75.766,75.444,75.607,19479,20,0
2019-05-29 20:00:00,75.607,75.855,75.59,75.783,11113,20,0
2019-05-30 00:00:00,75.788,75.915,75.738,75.756,12135,20,0
2019-05-30 04:00:00,75.755,76.057,75.742,76.034,12311,20,0
2019-05-30 08:00:00,76.033,76.154,75.969,76.005,11119,20,0
2019-05-30 12:00:00,76.005,76.06,75.834,75.868,10259,20,0
2019-05-30 16:00:00,75.868,75.986,75.75,75.84,14411,20,0
2019-05-30 20:00:00,75.84,75.849,75.619,75.748,9073,20,0
2019-05-31 00:00:00,75.748,75.777,75.396,75.409,12637,11,0
2019-05-31 04:00:00,75.407,75.635,75.335,75.372,20561,20,0
2019-05-31 08:00:00,75.372,75.43,75.199,75.243,15544,20,0
2019-05-31 12:00:00,75.242,75.308,75.077,75.211,18677,20,0
2019-05-31 16:00:00,75.211,75.422,75.176,75.217,23701,20,0
2019-05-31 20:00:00,75.217,75.28,75.072,75.076,13239,20,0
2019-06-03 00:00:00,75.067,75.195,74.957,75.182,11681,16,0
