time,open,high,low,close,tick_volume,spread,real_volume
2024-12-19 12:00:00,0.89849,0.89884,0.89786,0.89792,2775,11,0
2024-12-19 12:30:00,0.89791,0.89903,0.89778,0.89874,2959,11,0
2024-12-19 13:00:00,0.89875,0.89911,0.89855,0.89894,2496,11,0
2024-12-19 13:30:00,0.89894,0.89895,0.8984,0.89871,2620,12,0
2024-12-19 14:00:00,0.89871,0.89877,0.89816,0.89838,3653,12,0
2024-12-19 14:30:00,0.89838,0.89883,0.89751,0.8982,3690,12,0
2024-12-19 15:00:00,0.8982,0.89916,0.89732,0.89898,4481,12,0
2024-12-19 15:30:00,0.89898,0.8991,0.89815,0.89877,6293,12,0
2024-12-19 16:00:00,0.89879,0.89935,0.89814,0.89822,4883,12,0
2024-12-19 16:30:00,0.89822,0.8989,0.89789,0.89869,5599,12,0
2024-12-19 17:00:00,0.8987,0.89917,0.8981,0.8988,5485,12,0
2024-12-19 17:30:00,0.89879,0.89941,0.89832,0.89841,5774,12,0
2024-12-19 18:00:00,0.89841,0.89854,0.89761,0.89845,5347,12,0
2024-12-19 18:30:00,0.89845,0.89854,0.89771,0.89786,4440,11,0
2024-12-19 19:00:00,0.89786,0.89905,0.89777,0.89881,4112,11,0
2024-12-19 19:30:00,0.89881,0.89885,0.89803,0.89817,3187,12,0
2024-12-19 20:00:00,0.89816,0.89824,0.89745,0.8981,3461,12,0
2024-12-19 20:30:00,0.8981,0.89846,0.89772,0.89817,3000,12,0
2024-12-19 21:00:00,0.89817,0.89855,0.89808,0.89828,3035,12,0
2024-12-19 21:30:00,0.89829,0.89834,0.898,0.89801,2734,12,0
2024-12-19 22:00:00,0.89802,0.89812,0.89756,0.89777,2967,12,0
2024-12-19 22:30:00,0.89778,0.89821,0.89766,0.8982,2466,12,0
2024-12-19 23:00:00,0.89817,0.89818,0.89754,0.89797,1265,14,0
2024-12-19 23:30:00,0.89798,0.89825,0.89781,0.89818,896,12,0
2024-12-20 00:00:00,0.89686,0.89807,0.8968,0.89787,845,50,0
2024-12-20 00:30:00,0.89788,0.89805,0.89722,0.89737,752,27,0
2024-12-20 01:00:00,0.89737,0.89776,0.89724,0.89738,1085,12,0
2024-12-20 01:30:00,0.89738,0.89764,0.89719,0.89736,1158,12,0
2024-12-20 02:00:00,0.89736,0.89793,0.89729,0.89767,2286,11,0
2024-12-20 02:30:00,0.89766,0.89822,0.89715,0.89755,2303,11,0
2024-12-20 03:00:00,0.89755,0.89779,0.89678,0.89758,3344,11,0
2024-12-20 03:30:00,0.89759,0.89843,0.89756,0.89821,3295,11,0
2024-12-20 04:00:00,0.89821,0.89867,0.89791,0.89812,2700,11,0
2024-12-20 04:30:00,0.89811,0.89836,0.89776,0.89826,2737,11,0
2024-12-20 05:00:00,0.89826,0.89868,0.89781,0.89787,2146,11,0
2024-12-20 05:30:00,0.89787,0.8979,0.89697,0.89773,2299,11,0
2024-12-20 06:00:00,0.89775,0.89817,0.89734,0.89755,1642,11,0
2024-12-20 06:30:00,0.89755,0.89799,0.89733,0.89778,1304,11,0
2024-12-20 07:00:00,0.89778,0.898,0.89742,0.89784,1553,11,0
2024-12-20 07:30:00,0.89783,0.89789,0.89708,0.8972,1873,11,0
2024-12-20 08:00:00,0.8972,0.89832,0.89702,0.89803,3498,11,0
2024-12-20 08:30:00,0.89803,0.89896,0.89784,0.89846,3179,11,0
2024-12-20 09:00:00,0.89847,0.89858,0.89733,0.8974,3107,11,0
2024-12-20 09:30:00,0.89738,0.89844,0.89695,0.89841,2825,11,0
2024-12-20 10:00:00,0.89842,0.89848,0.89753,0.89777,4590,11,0
2024-12-20 10:30:00,0.89776,0.89809,0.89713,0.89745,3484,11,0
2024-12-20 11:00:00,0.89746,0.89749,0.89666,0.89679,3185,11,0
2024-12-20 11:30:00,0.89678,0.89697,0.89617,0.89667,3040,11,0
2024-12-20 12:00:00,0.89667,0.89697,0.89604,0.89606,2674,11,0
2024-12-20 12:30:00,0.89605,0.89633,0.89587,0.8959,2999,11,0
2024-12-20 13:00:00,0.8959,0.89613,0.89568,0.89581,2368,11,0
2024-12-20 13:30:00,0.89582,0.89616,0.89553,0.89589,2310,11,0
2024-12-20 14:00:00,0.8959,0.8965,0.89587,0.89644,2576,11,0
2024-12-20 14:30:00,0.89644,0.89674,0.89613,0.89641,3070,13,0
2024-12-20 15:00:00,0.89641,0.89751,0.89613,0.89717,3044,12,0
2024-12-20 15:30:00,0.89722,0.89831,0.89709,0.89744,6237,11,0
2024-12-20 16:00:00,0.89742,0.89754,0.89645,0.89651,4634,11,0
2024-12-20 16:30:00,0.8965,0.89684,0.89623,0.89639,6086,12,0
2024-12-20 17:00:00,0.89638,0.898,0.8962,0.8976,6003,12,0
2024-12-20 17:30:00,0.8976,0.89837,0.89742,0.89742,6057,12,0
2024-12-20 18:00:00,0.89741,0.89892,0.89737,0.89867,4894,12,0
2024-12-20 18:30:00,0.89867,0.89941,0.89833,0.89917,4646,12,0
2024-12-20 19:00:00,0.89917,0.89946,0.89883,0.89913,3945,12,0
2024-12-20 19:30:00,0.89912,0.89917,0.89861,0.89894,3851,12,0
2024-12-20 20:00:00,0.89893,0.8994,0.89876,0.89902,2528,12,0
2024-12-20 20:30:00,0.89903,0.89979,0.89899,0.89942,2308,12,0
2024-12-20 21:00:00,0.89942,0.89989,0.8994,0.89969,2401,12,0
2024-12-20 21:30:00,0.89969,0.89982,0.89941,0.89941,2473,12,0
2024-12-20 22:00:00,0.8994,0.89973,0.89924,0.89942,2189,12,0
2024-12-20 22:30:00,0.89942,0.89958,0.89859,0.89861,3144,12,0
2024-12-20 23:00:00,0.89862,0.89892,0.89827,0.89843,1565,14,0
2024-12-20 23:30:00,0.89844,0.89856,0.89818,0.89836,826,13,0
2024-12-23 00:00:00,0.89837,0.89876,0.89802,0.89827,315,71,0
2024-12-23 00:30:00,0.89828,0.89864,0.89734,0.89754,517,69,0
2024-12-23 01:00:00,0.89754,0.89872,0.89754,0.89818,1778,12,0
2024-12-23 01:30:00,0.89818,0.89821,0.89771,0.898,1325,12,0
2024-12-23 02:00:00,0.898,0.89838,0.89785,0.89834,1704,12,0
2024-12-23 02:30:00,0.89834,0.89834,0.89702,0.89702,2221,12,0
2024-12-23 03:00:00,0.89702,0.89747,0.89671,0.89741,2216,12,0
2024-12-23 03:30:00,0.8974,0.89813,0.89735,0.89774,2514,12,0
2024-12-23 04:00:00,0.89773,0.89807,0.89756,0.898,1802,12,0
2024-12-23 04:30:00,0.898,0.89822,0.89792,0.89794,1398,12,0
2024-12-23 05:00:00,0.89794,0.89821,0.89791,0.898,1185,12,0
2024-12-23 05:30:00,0.89799,0.89802,0.89722,0.89729,1111,12,0
2024-12-23 06:00:00,0.89729,0.89792,0.89702,0.8979,1162,12,0
2024-12-23 06:30:00,0.8979,0.89825,0.89776,0.89822,1079,12,0
2024-12-23 07:00:00,0.89822,0.89851,0.89806,0.89812,1480,12,0
2024-12-23 07:30:00,0.89812,0.89892,0.89802,0.8989,1182,12,0
2024-12-23 08:00:00,0.89892,0.89946,0.89884,0.89908,1653,12,0
2024-12-23 08:30:00,0.89908,0.89908,0.89854,0.89886,1398,12,0
2024-12-23 09:00:00,0.89887,0.89894,0.89827,0.89859,1491,12,0
2024-12-23 09:30:00,0.8986,0.8991,0.89856,0.89901,2313,12,0
2024-12-23 10:00:00,0.89901,0.89972,0.89873,0.89952,2695,12,0
2024-12-23 10:30:00,0.89952,0.89982,0.89913,0.89935,2478,12,0
2024-12-23 11:00:00,0.89936,0.90024,0.89928,0.89978,2369,12,0
2024-12-23 11:30:00,0.89977,0.9001,0.89962,0.90003,2534,12,0
2024-12-23 12:00:00,0.90003,0.90021,0.89986,0.90001,1723,12,0
2024-12-23 12:30:00,0.90001,0.90034,0.89958,0.8996,2198,12,0
2024-12-23 13:00:00,0.89959,0.90006,0.89952,0.89994,1713,12,0
2024-12-23 13:30:00,0.89994,0.90001,0.89898,0.89912,1892,12,0
2024-12-23 14:00:00,0.89912,0.89926,0.89846,0.89886,2341,12,0
2024-12-23 14:30:00,0.89887,0.8989,0.89835,0.89871,2386,12,0
2024-12-23 15:00:00,0.89871,0.8989,0.89806,0.89864,3060,12,0
2024-12-23 15:30:00,0.89865,0.89906,0.8981,0.89882,3479,12,0
2024-12-23 16:00:00,0.89882,0.89922,0.89854,0.89856,3209,12,0
2024-12-23 16:30:00,0.89855,0.89869,0.89783,0.8979,4121,12,0
2024-12-23 17:00:00,0.8979,0.89825,0.89678,0.89732,5206,12,0
2024-12-23 17:30:00,0.89736,0.89809,0.8969,0.89785,4710,12,0
2024-12-23 18:00:00,0.89786,0.89808,0.89732,0.89771,3701,12,0
2024-12-23 18:30:00,0.8977,0.8985,0.89767,0.89801,3418,12,0
2024-12-23 19:00:00,0.89801,0.89846,0.8977,0.89788,3413,12,0
2024-12-23 19:30:00,0.89788,0.89811,0.89737,0.89766,3375,12,0
2024-12-23 20:00:00,0.89765,0.89812,0.89744,0.89794,3178,12,0
2024-12-23 20:30:00,0.89793,0.89817,0.8977,0.89801,2467,13,0
2024-12-23 21:00:00,0.89802,0.89806,0.89748,0.89778,1759,13,0
2024-12-23 21:30:00,0.89777,0.89809,0.89763,0.89788,2096,13,0
2024-12-23 22:00:00,0.89789,0.89812,0.89757,0.8979,2413,13,0
2024-12-23 22:30:00,0.89791,0.89817,0.89771,0.89794,1823,13,0
2024-12-23 23:00:00,0.89793,0.89804,0.89771,0.89804,1108,15,0
2024-12-23 23:30:00,0.89804,0.89811,0.89762,0.89791,935,14,0
2024-12-24 00:00:00,0.89654,0.89766,0.89646,0.89759,513,64,0
2024-12-24 00:30:00,0.89763,0.89781,0.89718,0.89722,490,32,0
2024-12-24 01:00:00,0.89722,0.89783,0.89718,0.8977,1099,14,0
2024-12-24 01:30:00,0.8977,0.89774,0.89707,0.89726,611,12,0
2024-12-24 02:00:00,0.89726,0.89758,0.89695,0.8974,1240,12,0
2024-12-24 02:30:00,0.89739,0.89758,0.89717,0.89732,990,12,0
2024-12-24 03:00:00,0.89732,0.89742,0.8965,0.8965,1366,12,0
2024-12-24 03:30:00,0.89651,0.89667,0.8962,0.89662,1568,12,0
2024-12-24 04:00:00,0.89662,0.89748,0.89635,0.89666,1879,12,0
2024-12-24 04:30:00,0.89665,0.89704,0.89594,0.89595,1460,12,0
2024-12-24 05:00:00,0.89595,0.89624,0.89526,0.89615,1854,12,0
2024-12-24 05:30:00,0.89614,0.89705,0.89606,0.89697,1592,12,0
2024-12-24 06:00:00,0.89697,0.89722,0.89654,0.89699,1012,12,0
2024-12-24 06:30:00,0.89699,0.89722,0.89678,0.89715,676,12,0
2024-12-24 07:00:00,0.89715,0.89725,0.89695,0.8971,856,12,0
2024-12-24 07:30:00,0.89707,0.89774,0.89699,0.89761,1022,12,0
2024-12-24 08:00:00,0.89761,0.89762,0.89712,0.89728,1209,12,0
2024-12-24 08:30:00,0.89727,0.89818,0.89723,0.89804,1677,12,0
2024-12-24 09:00:00,0.89804,0.89813,0.89764,0.89776,1566,12,0
2024-12-24 09:30:00,0.89775,0.89785,0.89721,0.89744,1388,12,0
2024-12-24 10:00:00,0.89743,0.8977,0.89734,0.89764,1665,12,0
2024-12-24 10:30:00,0.89764,0.8983,0.89762,0.89811,1836,12,0
2024-12-24 11:00:00,0.89812,0.89829,0.89768,0.89775,1042,12,0
2024-12-24 11:30:00,0.89775,0.89816,0.89754,0.89759,1554,12,0
2024-12-24 12:00:00,0.89758,0.89795,0.8975,0.89763,1342,12,0
2024-12-24 12:30:00,0.89763,0.89766,0.89717,0.89733,1418,12,0
2024-12-24 13:00:00,0.89733,0.89754,0.89709,0.89739,1460,12,0
2024-12-24 13:30:00,0.8974,0.89768,0.89727,0.89748,1240,12,0
2024-12-24 14:00:00,0.89748,0.89779,0.8974,0.89768,1573,12,0
2024-12-24 14:30:00,0.89767,0.89809,0.89745,0.89779,2352,12,0
2024-12-24 15:00:00,0.89778,0.8984,0.89774,0.89797,2477,12,0
2024-12-24 15:30:00,0.89796,0.89806,0.89687,0.89721,2562,12,0
2024-12-24 16:00:00,0.89722,0.89722,0.89588,0.89607,2623,13,0
2024-12-24 16:30:00,0.89606,0.89702,0.896,0.89696,3981,13,0
2024-12-24 17:00:00,0.89697,0.89724,0.8964,0.89644,2783,13,0
