time,open,high,low,close,tick_volume,spread,real_volume
2024-12-19 12:30:00,97.956,98.044,97.947,98.025,2434,10,0
2024-12-19 13:00:00,98.025,98.149,98.025,98.069,2275,10,0
2024-12-19 13:30:00,98.068,98.106,97.903,97.924,2622,10,0
2024-12-19 14:00:00,97.924,98.05,97.909,98.001,3001,11,0
2024-12-19 14:30:00,98.002,98.123,97.998,98.073,2803,10,0
2024-12-19 15:00:00,98.071,98.126,97.966,98.06,3225,11,0
2024-12-19 15:30:00,98.063,98.173,97.867,98.103,4188,11,0
2024-12-19 16:00:00,98.101,98.315,98.101,98.304,3730,11,0
2024-12-19 16:30:00,98.307,98.514,98.288,98.41,3840,11,0
2024-12-19 17:00:00,98.417,98.593,98.348,98.543,3737,10,0
2024-12-19 17:30:00,98.541,98.658,98.424,98.621,4057,11,0
2024-12-19 18:00:00,98.622,98.732,98.533,98.704,3588,11,0
2024-12-19 18:30:00,98.703,98.73,98.549,98.576,3118,10,0
2024-12-19 19:00:00,98.576,98.628,98.526,98.537,2788,10,0
2024-12-19 19:30:00,98.537,98.612,98.476,98.51,2350,10,0
2024-12-19 20:00:00,98.51,98.545,98.395,98.545,2672,10,0
2024-12-19 20:30:00,98.545,98.58,98.444,98.494,2216,10,0
2024-12-19 21:00:00,98.494,98.535,98.36,98.4,2235,10,0
2024-12-19 21:30:00,98.4,98.406,98.245,98.263,2173,10,0
2024-12-19 22:00:00,98.263,98.299,98.196,98.231,2212,10,0
2024-12-19 22:30:00,98.228,98.289,98.18,98.196,1947,10,0
2024-12-19 23:00:00,98.195,98.227,98.135,98.179,1004,12,0
2024-12-19 23:30:00,98.179,98.234,98.162,98.214,1093,13,0
2024-12-20 00:00:00,98.103,98.178,98.083,98.161,756,78,0
2024-12-20 00:30:00,98.161,98.197,98.124,98.134,533,35,0
2024-12-20 01:00:00,98.134,98.221,98.132,98.219,1413,11,0
2024-12-20 01:30:00,98.219,98.257,98.124,98.228,1510,11,0
2024-12-20 02:00:00,98.228,98.405,98.21,98.274,2878,11,0
2024-12-20 02:30:00,98.275,98.349,98.192,98.194,2831,11,0
2024-12-20 03:00:00,98.195,98.227,97.844,97.969,3377,11,0
2024-12-20 03:30:00,97.972,98.136,97.959,97.975,3032,11,0
2024-12-20 04:00:00,97.973,98.02,97.736,97.747,2842,11,0
2024-12-20 04:30:00,97.746,97.813,97.658,97.75,2684,11,0
2024-12-20 05:00:00,97.753,97.829,97.726,97.775,2330,11,0
2024-12-20 05:30:00,97.776,97.787,97.562,97.712,2856,11,0
2024-12-20 06:00:00,97.718,97.863,97.712,97.749,2281,11,0
2024-12-20 06:30:00,97.747,97.929,97.733,97.914,1799,11,0
2024-12-20 07:00:00,97.915,97.927,97.741,97.804,2089,11,0
2024-12-20 07:30:00,97.804,97.852,97.697,97.741,2164,11,0
2024-12-20 08:00:00,97.747,97.853,97.633,97.794,3090,11,0
2024-12-20 08:30:00,97.794,98.067,97.776,97.985,2626,11,0
2024-12-20 09:00:00,97.985,97.987,97.811,97.842,2753,10,0
2024-12-20 09:30:00,97.846,97.961,97.793,97.952,2796,10,0
2024-12-20 10:00:00,97.952,98.021,97.861,97.983,3500,10,0
2024-12-20 10:30:00,97.982,98.03,97.803,97.867,3037,10,0
2024-12-20 11:00:00,97.867,97.891,97.655,97.7,2841,10,0
2024-12-20 11:30:00,97.699,97.747,97.589,97.683,2841,10,0
2024-12-20 12:00:00,97.683,97.711,97.583,97.584,2330,10,0
2024-12-20 12:30:00,97.579,97.679,97.566,97.652,2476,10,0
2024-12-20 13:00:00,97.651,97.657,97.596,97.611,2102,10,0
2024-12-20 13:30:00,97.611,97.649,97.566,97.612,1992,10,0
2024-12-20 14:00:00,97.612,97.699,97.601,97.634,2206,11,0
2024-12-20 14:30:00,97.635,97.779,97.625,97.706,2482,12,0
2024-12-20 15:00:00,97.705,97.734,97.652,97.665,2701,11,0
2024-12-20 15:30:00,97.665,97.748,97.581,97.597,4198,11,0
2024-12-20 16:00:00,97.594,97.646,97.436,97.46,3714,11,0
2024-12-20 16:30:00,97.46,97.688,97.428,97.638,4166,11,0
2024-12-20 17:00:00,97.659,97.927,97.635,97.912,4042,11,0
2024-12-20 17:30:00,97.912,98.027,97.747,97.753,4066,11,0
2024-12-20 18:00:00,97.753,97.853,97.746,97.767,3423,11,0
2024-12-20 18:30:00,97.765,97.855,97.707,97.799,3346,10,0
2024-12-20 19:00:00,97.799,97.91,97.767,97.879,2794,10,0
2024-12-20 19:30:00,97.879,97.879,97.748,97.778,2829,10,0
2024-12-20 20:00:00,97.777,97.809,97.737,97.765,2016,10,0
2024-12-20 20:30:00,97.767,97.825,97.719,97.73,1836,10,0
2024-12-20 21:00:00,97.73,97.858,97.703,97.848,1842,10,0
2024-12-20 21:30:00,97.845,97.863,97.763,97.763,2180,10,0
