time,open,high,low,close,tick_volume,spread,real_volume
2000-03-30,1.221,1.223,1.221,1.223,21,240,0
2000-03-31,1.223,1.2237,1.2214,1.2214,31,240,0
2000-04-03,1.2237,1.2237,1.2222,1.2222,16,240,0
2000-04-04,1.2237,1.2237,1.2173,1.2173,65,240,0
2000-04-05,1.2237,1.2237,1.2147000000000001,1.2147000000000001,91,240,0
2000-04-06,1.2237,1.2237,1.2155,1.2155,83,240,0
2000-04-07,1.2237,1.2237,1.2141,1.2141,97,240,0
2000-04-10,1.2237,1.2237,1.2132,1.2132,106,240,0
2000-04-11,1.2237,1.2237,1.2082,1.2082,156,240,0
2000-04-12,1.2237,1.2237,1.2095,1.2095,143,240,0
2000-04-13,1.1978,1.1981,1.1978,1.1981,4,240,0
2000-04-14,1.1978,1.1989,1.1978,1.1989,12,240,0
2000-04-17,1.1978,1.2001,1.1978,1.2001,24,240,0
2000-04-18,1.1978,1.1997,1.1978,1.1997,20,240,0
2000-04-19,1.1978,1.1979,1.1978,1.1979,2,240,0
2000-04-20,1.1958,1.196,1.1958,1.196,3,240,0
2000-04-21,1.1958,1.1958,1.1958,1.1958,1,240,0
2000-04-24,1.1958,1.1958,1.1958,1.1958,1,240,0
2000-04-25,1.1958,1.1958,1.1958,1.1958,1,240,0
2000-04-26,1.1958,1.2015,1.1958,1.2015,58,240,0
2000-04-27,1.1958,1.2017,1.1958,1.2017,60,240,0
2000-04-28,1.1958,1.201,1.1958,1.201,53,240,0
2000-05-01,1.204,1.204,1.202,1.202,21,240,0
2000-05-02,1.204,1.204,1.204,1.204,1,240,0
2000-05-03,1.204,1.204,1.2037,1.2037,4,240,0
2000-05-04,1.2088,1.2088,1.2064,1.2064,25,240,0
2000-05-05,1.2088,1.2091,1.2088,1.2091,4,240,0
2000-05-08,1.2088,1.2088,1.2064,1.2064,25,240,0
2000-05-09,1.2088,1.2096,1.2088,1.2096,9,240,0
2000-05-10,1.2088,1.2118,1.2088,1.2118,31,240,0
2000-05-11,1.2088,1.2123,1.2088,1.2123,36,240,0
2000-05-12,1.2088,1.2106,1.2088,1.2106,19,240,0
2000-05-15,1.2088,1.209,1.2088,1.209,3,240,0
2000-05-16,1.2088,1.2134,1.2088,1.2134,47,240,0
2000-05-17,1.2211,1.2356,1.2186,1.2287,265,240,0
2000-05-18,1.2317,1.2625,1.2088,1.2464,928,240,0
2000-05-19,1.2551999999999999,1.2753,1.2088,1.2585,1298,240,0
2000-05-22,1.2088,1.2296,1.2088,1.2296,209,240,0
2000-05-23,1.2088,1.2583,1.2088,1.2501,578,240,0
2000-05-24,1.2473,1.2694,1.2326,1.2603,607,240,0
2000-05-25,1.2647,1.2651,1.2328000000000001,1.2542,542,240,0
2000-05-26,1.2535,1.2589000000000001,1.2452,1.2558,252,240,0
2000-05-29,1.2522,1.2599,1.2265,1.2497,644,240,0
2000-05-30,1.2443,1.2549000000000001,1.2443,1.2515,141,240,0
2000-05-31,1.2549000000000001,1.2570999999999999,1.2433,1.2504,232,240,0
2000-06-01,1.214,1.2624,1.2135,1.2551,568,240,0
2000-06-02,1.2523,1.2557,1.2464,1.2488,152,240,0
2000-06-05,1.2397,1.2585,1.2378,1.2408,404,240,0
2000-06-06,1.24,1.2473,1.2171,1.2404,601,240,0
2000-06-07,1.2507,1.2598,1.2339,1.2439,451,240,0
2000-06-08,1.249,1.278,1.2426,1.2559,640,240,0
2000-06-09,1.2425,1.2612999999999999,1.2319,1.2522,492,240,0
2000-06-12,1.26,1.2603,1.2532,1.2575,118,240,0
2000-06-13,1.2574,1.2623,1.2505,1.2559,222,240,0
2000-06-14,1.2561,1.2744,1.2553,1.2692,252,240,0
2000-06-15,1.2631000000000001,1.2832,1.2607,1.2793999999999999,288,240,0
2000-06-16,1.2785,1.2901,1.2739,1.2763,303,240,0
2000-06-19,1.2836,1.2836,1.2593,1.2639,290,240,0
2000-06-20,1.2741,1.279,1.2652,1.2691,227,240,0
2000-06-28,1.2804,1.2832,1.2707,1.2783,230,240,0
2000-06-29,1.2858,1.3103,1.2854999999999999,1.2889,466,240,0
2000-06-30,1.2808,1.2925,1.26,1.2778,621,240,0
2000-07-03,1.2757,1.2913000000000001,1.2685,1.2779,435,240,0
2000-07-04,1.2842,1.286,1.2758,1.2846,201,240,0
2000-07-05,1.3026,1.3026,1.2774,1.2832,311,240,0
2000-07-06,1.2795,1.2845,1.2771,1.2787,141,240,0
2000-07-07,1.2775,1.2941,1.2775,1.2803,305,240,0
2000-07-10,1.2818,1.2916,1.275,1.2837,314,240,0
2000-07-11,1.283,1.2843,1.2789,1.2793,72,240,0
2000-07-12,1.2808,1.285,1.2748,1.2805,202,240,0
2000-07-13,1.2811,1.287,1.2732,1.2768,234,240,0
2000-07-14,1.2671999999999999,1.2727,1.267,1.2688,99,240,0
2000-07-17,1.2713,1.2732999999999999,1.2638,1.2697,175,240,0
2000-07-18,1.2755,1.2801,1.2715,1.2718,136,240,0
2000-07-19,1.2699,1.2748,1.2675,1.2739,107,240,0
2000-07-20,1.2671000000000001,1.2705,1.2610999999999999,1.2638,156,240,0
2000-07-21,1.2599,1.263,1.2568,1.2607,117,240,0
2000-07-24,1.2705,1.2725,1.2677,1.2685,77,240,0
2000-07-25,1.2701,1.2732,1.2696,1.2705,69,240,0
2000-07-26,1.2746,1.2779,1.2696,1.2752,161,240,0
2000-07-27,1.2705,1.2771,1.2705,1.2771,67,240,0
2000-07-28,1.2705,1.2785,1.2705,1.2785,81,240,0
2000-07-31,1.2705,1.2811,1.2705,1.2806,112,240,0
2000-08-01,1.2788,1.2793999999999999,1.2705,1.2744,135,240,0
2000-08-02,1.2775,1.279,1.2705,1.2761,157,240,0
2000-08-03,1.2692999999999999,1.2793,1.2692999999999999,1.2793,101,240,0
2000-08-04,1.2717,1.2887,1.2717,1.2839,219,240,0
2000-08-07,1.2857,1.2906,1.2705,1.2883,377,240,0
2000-08-08,1.2896,1.2942,1.2705,1.2897,474,240,0
2000-08-09,1.2866,1.2894,1.2705,1.2873,372,240,0
2000-08-10,1.2835,1.2901,1.2705,1.2849,379,240,0
2000-08-11,1.2869,1.2902,1.2705,1.2894,370,240,0
2000-08-14,1.2924,1.2962,1.2705,1.2816,407,240,0
2000-08-15,1.2886,1.2922,1.2705,1.2833,382,240,0
2000-08-16,1.3006,1.3021,1.2705,1.287,497,240,0
2000-08-17,1.308,1.3091,1.2705,1.2881,574,240,0
2000-08-18,1.3143,1.3143,1.2705,1.2918,652,240,0
2000-08-21,1.3212,1.3212,1.2705,1.3037,840,240,0
2000-08-22,1.3012000000000001,1.3125,1.2705,1.3114,739,240,0
2000-08-23,1.3188,1.3235999999999999,1.2953999999999999,1.3153000000000001,530,240,0
2000-08-24,1.3348,1.3485,1.307,1.332,803,240,0
2000-08-25,1.3186,1.3197,1.3099,1.3131,142,240,0
2000-08-28,1.3194,1.3212,1.2929,1.3142,515,240,0
2000-08-29,1.3168,1.3263,1.3159,1.3251,126,240,0
2000-08-30,1.3314,1.3389,1.3261,1.3348,223,240,0
2000-08-31,1.3354,1.3385,1.3301,1.3321,136,240,0
2000-09-01,1.3481,1.3643,1.2705,1.3613,1745,240,0
2000-09-04,1.3538999999999999,1.3559999999999999,1.2705,1.3421,1593,240,0
2000-09-05,1.3413,1.3512,1.3404,1.3427,203,240,0
